slug	alignment	image_src
about	alignleft	http://www.notadesigner.com/wp-content/uploads/2012/10/pranav.jpg
century-mile-to-khandala	alignright	http://localhost:81/wp-content/uploads/2008/10/embankment.jpg
century-mile-to-khandala	alignright	http://localhost:81/wp-content/uploads/2008/10/countryside-450x600.jpg
century-mile-to-khandala	alignleft	http://localhost:81/wp-content/uploads/2008/10/bug.jpg
ride-to-lions-point	alignleft	http://localhost:81/wp-content/uploads/2012/10/lions-point-climb-175x175.jpg
ride-to-lions-point	alignright	http://localhost:81/wp-content/uploads/2012/10/lions-point-view-422x600.jpg
a-bicycle-like-no-other	alignleft	http://www.notadesigner.com/wp-content/uploads/2009/05/navigator-brakes-175x175.jpg
a-bicycle-like-no-other	alignright	http://www.notadesigner.com/wp-content/uploads/2009/05/navigator-front-shifter-175x175.jpg
a-bicycle-like-no-other	alignleft	http://www.notadesigner.com/wp-content/uploads/2009/05/navigator-rear-shifter-175x175.jpg
a-bicycle-like-no-other	alignleft	http://www.notadesigner.com/wp-content/uploads/2009/05/navigator-computer-175x175.jpg
mathematical-elegance-in-programming	alignleft	http://www.notadesigner.com/wp-content/uploads/2010/04/sum-of-numbers-a.png
mathematical-elegance-in-programming	alignleft	http://www.notadesigner.com/wp-content/uploads/2010/04/sum-of-numbers-b.png
mathematical-elegance-in-programming	alignleft	http://www.notadesigner.com/wp-content/uploads/2010/04/sum-of-numbers-c.png
creating-an-underwater-effect-in-actionscript	alignleft	http://localhost:81/wp-content/uploads/2012/10/wave-effect-a.jpg
creating-an-underwater-effect-in-actionscript	alignleft	http://localhost:81/wp-content/uploads/2010/04/wave-effect-b.jpg
creating-an-underwater-effect-in-actionscript	alignleft	http://localhost:81/wp-content/uploads/2012/10/wave-effect-c.jpg
creating-an-underwater-effect-in-actionscript	alignleft	http://localhost:81/wp-content/uploads/2012/10/wave-effect-d.jpg
tour-of-hampi-pune-to-belgaum	alignleft	http://localhost:81/wp-content/uploads/2012/10/smiles-afire-450x600.jpg
tour-of-hampi-pune-to-belgaum	alignright	http://localhost:81/wp-content/uploads/2012/10/contemplative-175x175.jpg
tour-of-hampi-pune-to-belgaum	alignleft	http://localhost:81/wp-content/uploads/2012/10/nipani-shrine.jpg
tour-of-hampi-pune-to-belgaum	alignright	http://localhost:81/wp-content/uploads/2012/10/outside-belgaum.jpg
tour-of-hampi-riding-around-belgaum	alignleft	http://localhost:81/wp-content/uploads/2012/10/morning-glory-175x175.jpg
tour-of-hampi-riding-around-belgaum	alignright	http://localhost:81/wp-content/uploads/2012/10/its-showtime-175x175.jpg
tour-of-hampi-riding-around-belgaum	alignleft	http://localhost:81/wp-content/uploads/2012/10/climb-uphill.jpg
tour-of-hampi-riding-around-belgaum	alignright	http://localhost:81/wp-content/uploads/2012/10/belgaum-vidhan-soudha.jpg
tour-of-hampi-riding-around-belgaum	alignleft	http://localhost:81/wp-content/uploads/2012/10/stealing-my-thunder-450x600.jpg
tour-of-hampi-belgaum-to-hospet	alignleft	http://localhost:81/wp-content/uploads/2012/10/belgaum-vidhan-soudha1.jpg
tour-of-hampi-belgaum-to-hospet	alignright	http://localhost:81/wp-content/uploads/2012/10/brahma-jinalaya-shikhara-details.jpg
tour-of-hampi-belgaum-to-hospet	alignright	http://localhost:81/wp-content/uploads/2012/10/brahma-jinalaya-shikhara-details-2.jpg
tour-of-hampi-belgaum-to-hospet	alignleft	http://localhost:81/wp-content/uploads/2012/10/brahma-jinalaya-shikhara-450x600.jpg
tour-of-hampi-belgaum-to-hospet	alignright	http://localhost:81/wp-content/uploads/2012/10/kasivisvanath-temple.jpg
tour-of-hampi-belgaum-to-hospet	alignleft	http://localhost:81/wp-content/uploads/2012/10/kasivisvanath-temple-doorway-175x175.jpg
tour-of-hampi-belgaum-to-hospet	alignleft	http://localhost:81/wp-content/uploads/2012/10/kasivisvanath-temple-exteriors-175x175.jpg
tour-of-hampi-first-day-at-hampi	alignleft	http://localhost:81/wp-content/uploads/2012/05/hemakuta-hill.jpg
tour-of-hampi-first-day-at-hampi	alignright	http://localhost:81/wp-content/uploads/2012/05/virupaksha-temple.jpg
tour-of-hampi-first-day-at-hampi	alignleft	http://localhost:81/wp-content/uploads/2012/05/anjanagiri-hill.jpg
tour-of-hampi-first-day-at-hampi	alignright	http://localhost:81/wp-content/uploads/2012/05/purandara-dasa-mandapa-450x600.jpg
tour-of-hampi-second-day-at-hampi	alignright	http://localhost:81/wp-content/uploads/2012/10/krishna-temple-gate.jpg
tour-of-hampi-second-day-at-hampi	alignleft	http://localhost:81/wp-content/uploads/2012/10/krishna-temple-dasha-avatar-450x600.jpg
tour-of-hampi-second-day-at-hampi	alignright	http://localhost:81/wp-content/uploads/2012/10/pillar-of-exquisite-beauty-450x600.jpg
tour-of-hampi-second-day-at-hampi	alignleft	http://localhost:81/wp-content/uploads/2012/10/hazara-rama-temple-175x175.jpg
tour-of-hampi-second-day-at-hampi	alignleft	http://localhost:81/wp-content/uploads/2012/10/riding-through-hampi-175x175.jpg
